﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025020311,   1017.4,   1021.1,     13.5,     12.2,       92,      0.7,    220.0,      4.1,    320.0,      0.5,      0.8,      0.0,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020312,   1017.0,   1020.7,     13.2,     12.3,       94,      1.4,    220.0,      2.7,    260.0,      2.5,      0.9,      0.0,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020313,   1016.2,   1019.9,     13.4,     12.3,       93,      0.7,    300.0,      3.0,    310.0,      1.5,      1.0,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020314,   1016.3,   1020.0,     13.3,     12.2,       93,      0.4,     70.0,      1.9,    100.0,      3.5,      0.8,      0.0,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020315,   1017.0,   1020.7,     12.8,     11.0,       89,      2.8,    330.0,      8.3,     50.0,     -9.8,      0.3,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020316,   1017.7,   1021.4,     12.1,     10.8,       92,      1.3,    330.0,      5.7,    330.0,      0.5,      1.0,      0.0,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020317,   1018.7,   1022.4,     12.3,     10.5,       89,      1.1,    330.0,      3.7,    330.0,     -9.8,      0.2,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020318,   1019.4,   1023.1,     11.9,     10.1,       89,      0.8,    310.0,      5.0,    360.0,      0.5,      0.7,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020319,   1020.0,   1023.7,     12.0,     10.6,       91,      1.5,    220.0,      3.3,    230.0,     -9.8,      0.6,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020320,   1020.5,   1024.2,     11.7,     10.6,       93,      1.7,    200.0,      3.7,    180.0,      0.5,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020321,   1020.5,   1024.2,     11.7,     10.8,       94,      1.3,    160.0,      2.8,    160.0,      0.5,      0.8,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020322,   1020.7,   1024.4,     11.8,     10.9,       94,      1.0,    260.0,      2.3,    330.0,      1.5,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020323,   1020.7,   1024.4,     11.6,     10.8,       95,      1.0,    220.0,      1.9,    230.0,      2.0,      0.9,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
