﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025070306,   1004.9,   1008.4,     29.0,     23.5,       72,      2.0,     90.0,      7.7,    110.0,      0.0,      0.0,      0.2,     0.08,     None,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070307,   1005.1,   1008.5,     30.0,     23.9,       70,      2.0,    110.0,      6.7,    110.0,      0.0,      0.0,      0.9,     0.71,     None,     0.57,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070308,   1005.2,   1008.6,     31.2,     24.1,       66,      2.9,    100.0,      6.0,    140.0,      0.0,      0.0,      1.0,     1.54,     None,     2.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070309,   1004.7,   1008.1,     32.2,     23.7,       61,      2.7,    120.0,      6.2,    130.0,      0.0,      0.0,      1.0,     2.32,     None,     4.48,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070310,   1004.5,   1007.9,     33.9,     23.0,       53,      3.0,    150.0,      6.7,    160.0,      0.0,      0.0,      0.9,     2.96,     None,     7.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070311,   1004.2,   1007.6,     34.6,     22.0,       48,      4.0,    150.0,      9.0,    130.0,      0.0,      0.0,      0.8,     3.16,     None,     9.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070312,   1003.8,   1007.2,     34.8,     22.2,       48,      3.7,    140.0,     10.6,    120.0,      0.0,      0.0,      0.9,     3.52,     None,    10.89,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070313,   1003.3,   1006.7,     35.3,     21.6,       45,      4.3,    150.0,     10.5,    140.0,      0.0,      0.0,      0.9,     3.52,     None,    10.64,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070314,   1002.9,   1006.3,     34.9,     21.6,       46,      5.2,    150.0,     12.5,    130.0,      0.0,      0.0,      1.0,     3.49,     None,     9.51,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070315,   1003.2,   1006.6,     35.1,     21.1,       44,      5.1,    150.0,     11.6,    140.0,      0.0,      0.0,      1.0,     2.99,     None,     6.93,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070316,   1002.9,   1006.3,     33.5,     22.0,       51,      5.7,    120.0,     10.9,    160.0,      0.0,      0.0,      1.0,     2.34,     None,     4.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070317,   1002.6,   1006.0,     32.9,     23.0,       56,      4.5,    100.0,     11.0,    130.0,      0.0,      0.0,      1.0,     1.56,     None,     1.80,     None,     None,     None,     None,     None,     None,     None,     None
